Gene,ORF,c1536,r1536
Border,Border,1,10
Border,Border,1,12
Border,Border,1,14
Border,Border,1,16
Border,Border,1,18
Border,Border,1,20
Border,Border,1,22
Border,Border,1,24
Border,Border,1,26
Border,Border,1,28
Border,Border,1,30
Border,Border,1,32
Border,Border,3,2
YGR119C,NUP57,3,4
YJL041W,NSP1,3,6
YOR357C,SNX3,3,8
YPR075C,OPY2,3,10
YOR027W,STI1,3,12
YIL044C,AGE2,3,14
YPR029C,APL4,3,16
YGR234W,YHB1,3,18
YMR231W,PEP5,3,20
YHR069C,RRP4,3,22
YOR267C,HRK1,3,24
YPR187W,REP2,3,26
YGL213C,SKI8,3,28
YGR008C,STF2,3,30
Border,Border,3,32
Border,Border,5,2
YGR270W,YTA7,5,4
YLR182W,SWI6,5,6
YLR272C,YCS4,5,8
YGR106C,VOA1,5,10
YGR028W,MSP1,5,12
YML013W,UBX2,5,14
YMR299C,DYN3,5,16
YNL268W,LYP1,5,18
YJL117W,PHO86,5,20
YLR056W,ERG3,5,22
YMR134W,ERG29,5,24
YLR378C,SEC61,5,26
YML094W,GIM5,5,28
YNL153C,GIM3,5,30
Border,Border,5,32
Border,Border,7,2
YGR080W,TWF1,7,4
YKR026C,GCN3,7,6
YLR291C,GCD7,7,8
YNL190W,YNL190W,7,10
YGR161C,RTS3,7,12
YPL263C,KEL3,7,14
YLR216C,CPR6,7,16
YMR212C,EFR3,7,18
YPL101W,ELP4,7,20
YHR187W,IKI1,7,22
YHR158C,KEL1,7,24
YGR256W,GND2,7,26
YGR261C,APL6,7,28
YPL195W,APL5,7,30
Border,Border,7,32
Border,Border,9,2
YKR038C,KAE1,9,4
YKR023W,YKR023W,9,6
YKR092C,SRP40,9,8
YHR110W,ERP5,9,10
YHL002W,HSE1,9,12
YNR006W,VPS27,9,14
YLR336C,SGD1,9,16
YOL061W,PRS5,9,18
YHL011C,PRS3,9,20
YHR042W,NCP1,9,22
YML120C,NDI1,9,24
YNL295W,YNL295W,9,26
YHR012W,VPS29,9,28
YOR132W,VPS17,9,30
Border,Border,9,32
Border,Border,11,2
YPL170W,DAP1,11,4
YNL110C,NOP15,11,6
YLR275W,SMD2,11,8
YHR063C,PAN5,11,10
YPR095C,SYT1,11,12
YPR189W,REP2,11,14
YHR074W,QNS1,11,16
YNL248C,RPA49,11,18
YMR290C,HAS1,11,20
YOR341W,RPA190,11,22
YOR340C,RPA43,11,24
YOR004W,UTP23,11,26
YPL127C,HHO1,11,28
YHR098C,SFB3,11,30
Border,Border,11,32
Border,Border,13,2
YHR104W,GRE3,13,4
YOR109W,INP53,13,6
YIL128W,MET18,13,8
YLR450W,HMG2,13,10
YLL021W,SPA2,13,12
YOR316C-A,YOR316C-A,13,14
YPL070W,MUK1,13,16
YMR112C,MED11,13,18
YJL164C,TPK1,13,20
YMR239C,RNT1,13,22
YMR016C,SOK2,13,24
YPL203W,TPK2,13,26
YKL062W,MSN4,13,28
YIR003W,AIM21,13,30
Border,Border,13,32
Border,Border,15,2
YNR049C,MSO1,15,4
YLR421C,RPN13,15,6
YMR047C,NUP116,15,8
YJL061W,NUP82,15,10
YJL005W,CYR1,15,12
YNR030W,ALG12,15,14
YKL057C,NUP120,15,16
YJL068C,YJL068C,15,18
YPR110C,RPC40,15,20
YOL081W,IRA2,15,22
YOL110W,SHR5,15,24
YMR296C,LCB1,15,26
YPR139C,LOA1,15,28
YMR152W,YIM1,15,30
Border,Border,15,32
Border,Border,17,2
YNL287W,SEC21,17,4
YOR120W,GCY1,17,6
YMR004W,MVP1,17,8
YPL045W,VPS16,17,10
YOR195W,SLK19,17,12
YOR162C,YRR1,17,14
YOR009W,TIR4,17,16
YJR060W,CBF1,17,18
YNL290W,RFC3,17,20
YKL101W,HSL1,17,22
YOR360C,PDE2,17,24
YML101C,CUE4,17,26
YNR075C-A,YNR075C-A,17,28
YJR133W,XPT1,17,30
Border,Border,17,32
Border,Border,19,2
YKL002W,DID4,19,4
YKR035W-A,DID2,19,6
YKL041W,VPS24,19,8
YNL281W,HCH1,19,10
YKL204W,EAP1,19,12
YKL067W,YNK1,19,14
YPL091W,GLR1,19,16
YNL121C,TOM70,19,18
YPL259C,APM1,19,20
YOR116C,RPO31,19,22
YKL190W,CNB1,19,24
YPL043W,NOP4,19,26
YPL012W,RRP12,19,28
YNL265C,IST1,19,30
Border,Border,19,32
Border,Border,21,2
YLR258W,GSY2,21,4
YPR048W,TAH18,21,6
YKR097W,PCK1,21,8
YML093W,UTP14,21,10
YNL087W,TCB2,21,12
YLR221C,RSA3,21,14
YLL043W,FPS1,21,16
YNR031C,SSK2,21,18
YLR022C,SDO1,21,20
YLR345W,YLR345W,21,22
YNL180C,RHO5,21,24
YOR133W,EFT1,21,26
YPR173C,VPS4,21,28
YMR229C,RRP5,21,30
Border,Border,21,32
Border,Border,23,2
YLR260W,LCB5,23,4
YLR245C,CDD1,23,6
YPR184W,REP2,23,8
YML056C,IMD4,23,10
YLR432W,IMD3,23,12
YLR319C,BUD6,23,14
YLR324W,PEX30,23,16
YMR266W,RSN1,23,18
YOR014W,RTS1,23,20
YPR137W,RRP9,23,22
YMR261C,TPS3,23,24
YOR098C,NUP1,23,26
YLR397C,AFG2,23,28
YNL088W,TOP2,23,30
Border,Border,23,32
Border,Border,25,2
YNL167C,SKO1,25,4
YML075C,HMG1,25,6
YML106W,URA5,25,8
YML035C,AMD1,25,10
YML051W,GAL80,25,12
YOR086C,TCB1,25,14
YMR070W,MOT3,25,16
YMR167W,MLH1,25,18
YMR096W,SNZ1,25,20
YNR034W,SOL1,25,22
YNL247W,YNL247W,25,24
YPL178W,CBC2,25,26
YNL322C,KRE1,25,28
YMR250W,GAD1,25,30
Border,Border,25,32
Border,Border,27,2
YNL183C,NPR1,27,4
YNL064C,YDJ1,27,6
YOR087W,YVC1,27,8
YNL166C,BNI5,27,10
YOR076C,SKI7,27,12
YPR042C,PUF2,27,14
YPR128C,ANT1,27,16
YOR095C,RKI1,27,18
YOR229W,WTM2,27,20
YPR032W,SRO7,27,22
YPR065W,ROX1,27,24
YPL116W,HOS3,27,26
YPR168W,NUT2,27,28
YAL041W,CDC24,27,30
Border,Border,27,32
Border,Border,29,2
YBL039C,URA7,29,4
YDL146W,LDB17,29,6
YGL242C,YGL242C,29,8
YHR114W,BZZ1,29,10
YJL201W,ECM25,29,12
YOR284W,HUA2,29,14
YOR367W,SCP1,29,16
YDL019C,OSH2,29,18
YLR119W,SRN2,29,20
YMR026C,PEX12,29,22
YGR250C,YGR250C,29,24
YJL155C,FBP26,29,26
YLR314C,CDC3,29,28
YMR216C,SKY1,29,30
Border,Border,29,32
Border,Border,31,2
YNL307C,MCK1,31,4
YPR154W,PIN3,31,6
YJR083C,ACF4,31,8
YAL005C,SSA1,31,10
YDL065C,PEX19,31,12
YDL229W,SSB1,31,14
YFL010C,WWM1,31,16
YGL252C,RTG2,31,18
YIR006C,PAN1,31,20
YJL128C,PBS2,31,22
YKL117W,SBA1,31,24
YKL129C,MYO3,31,26
YKR001C,VPS1,31,28
YLL039C,UBI4,31,30
Border,Border,31,32
Border,Border,33,2
YML131W,YML131W,33,4
YNL094W,APP1,33,6
YBL071W-A,KTI11,33,8
YBR053C,YBR053C,33,10
YER008C,SEC3,33,12
YNR007C,ATG3,33,14
YBL085W,BOI1,33,16
YER114C,BOI2,33,18
YDR329C,PEX3,33,20
YJL210W,PEX2,33,22
YER155C,BEM2,33,24
YER149C,PEA2,33,26
YAR014C,BUD14,33,28
YGL197W,MDS3,33,30
Border,Border,33,32
Border,Border,35,2
YCL036W,GFD2,35,4
YJL042W,MHP1,35,6
YDR229W,IVY1,35,8
YDR368W,YPR1,35,10
YDL113C,ATG20,35,12
YLR436C,ECM30,35,14
YLL040C,VPS13,35,16
YCL034W,LSB5,35,18
YBR109C,CMD1,35,20
YJL095W,BCK1,35,22
YDR507C,GIN4,35,24
YNL298W,CLA4,35,26
YCL024W,KCC4,35,28
YGL060W,YBP2,35,30
Border,Border,35,32
Border,Border,37,2
YKR082W,NUP133,37,4
YPL249C,GYP5,37,6
YER118C,SHO1,37,8
YDR515W,SLF1,37,10
YOR035C,SHE4,37,12
YBR169C,SSE2,37,14
YGR087C,PDC6,37,16
YDR105C,TMS1,37,18
YFR044C,DUG1,37,20
YDR160W,SSY1,37,22
YAL026C,DRS2,37,24
YLR257W,YLR257W,37,26
YBR025C,OLA1,37,28
YIR034C,LYS1,37,30
Border,Border,37,32
Border,Border,39,2
YMR095C,SNO1,39,4
YCL028W,RNQ1,39,6
YBR077C,SLM4,39,8
YGL223C,COG1,39,10
YAR002W,NUP60,39,12
YDR395W,SXM1,39,14
YDR324C,UTP4,39,16
YCR077C,PAT1,39,18
YLL013C,PUF3,39,20
YBL079W,NUP170,39,22
YLR154C-G,YLR154C-G,39,24
YLR154C-G,YLR154C-G,39,26
YLR154C-G,YLR154C-G,39,28
YPL198W,RPL7B,39,30
Border,Border,39,32
Border,Border,41,2
YER105C,NUP157,41,4
YFR002W,NIC96,41,6
YGL092W,NUP145,41,8
YLR018C,POM34,41,10
YML103C,NUP188,41,12
YBR173C,UMP1,41,14
YGR135W,PRE9,41,16
YJL076W,NET1,41,18
YOR124C,UBP2,41,20
YML010W,SPT5,41,22
YLR154C-G,YLR154C-G,41,24
YLR154C-G,YLR154C-G,41,26
YPL198W,RPL7B,41,28
YPL198W,RPL7B,41,30
Border,Border,41,32
Border,Border,43,2
YGR004W,PEX31,43,4
YAL042W,ERV46,43,6
YAL053W,FLC2,43,8
YGL002W,ERP6,43,10
YGL051W,MST27,43,12
YBL075C,SSA3,43,14
YER103W,SSA4,43,16
YBR068C,BAP2,43,18
YBR089C-A,NHP6B,43,20
YBR117C,TKL2,43,22
YLR154C-G,YLR154C-G,43,24
YPL198W,RPL7B,43,26
Empty,Empty,43,28
Empty,Empty,43,30
Border,Border,43,32
Border,Border,45,2
YBR140C,IRA1,45,4
YCL037C,SRO9,45,6
YMR318C,ADH6,45,8
YMR153W,NUP53,45,10
YDL130W-A,STF1,45,12
YDL181W,INH1,45,14
YDL137W,ARF2,45,16
YDR060W,MAK21,45,18
YDR077W,SED1,45,20
YDR093W,DNF2,45,22
YPL198W,RPL7B,45,24
YPL198W,RPL7B,45,26
Empty,Empty,45,28
Empty,Empty,45,30
Border,Border,45,32
Border,Border,47,2
Border,Border,47,4
Border,Border,47,6
Border,Border,47,8
Border,Border,47,10
Border,Border,47,12
Border,Border,47,14
Border,Border,47,16
Border,Border,47,18
Border,Border,47,20
Border,Border,47,22
Border,Border,47,24
Border,Border,47,26
Border,Border,47,28
Border,Border,47,30
Border,Border,47,32
Border,Border,2,2
Border,Border,2,4
Border,Border,2,6
Border,Border,2,8
Border,Border,2,10
Border,Border,2,12
Border,Border,2,14
Border,Border,2,16
Border,Border,2,18
Border,Border,2,20
Border,Border,2,22
Border,Border,2,24
Border,Border,2,26
Border,Border,2,28
Border,Border,2,30
Border,Border,2,32
Border,Border,4,2
YDR258C,HSP78,4,4
YDR358W,GGA1,4,6
YDR391C,YDR391C,4,8
YDR399W,HPT1,4,10
YDR425W,SNX41,4,12
YDR525W-A,SNA2,4,14
YEL007W,MIT1,4,16
YJR049C,UTR1,4,18
YEL066W,HPA3,4,20
YER054C,GIP2,4,22
YER057C,HMF1,4,24
YER067W,RGI1,4,26
YER081W,SER3,4,28
YLR080W,EMP46,4,30
Border,Border,4,32
Border,Border,6,2
YFL054C,YFL054C,6,4
YFR015C,GSY1,6,6
YFR034C,PHO4,6,8
YGL101W,YGL101W,6,10
YLR130C,ZRT2,6,12
YGR010W,NMA2,6,14
YLR328W,NMA1,6,16
YGR136W,LSB1,6,18
YGR198W,YPP1,6,20
YNL154C,YCK2,6,22
YHR208W,BAT1,6,24
YIL051C,MMF1,6,26
YNL047C,SLM2,6,28
YIL137C,TMA108,6,30
Border,Border,6,32
Border,Border,8,2
YIR031C,DAL7,8,4
YJL082W,IML2,8,6
YKR027W,BCH2,8,8
YJL112W,MDV1,8,10
YEL041W,YEF1,8,12
YKR010C,TOF2,8,14
YJL099W,CHS6,8,16
YKR034W,DAL80,8,18
YKR089C,TGL4,8,20
YLR270W,DCS1,8,22
YOR173W,DCS2,8,24
YML074C,FPR3,8,26
YDR436W,PPZ2,8,28
YMR043W,MCM1,8,30
Border,Border,8,32
Border,Border,10,2
YDL088C,ASM4,10,4
YOR299W,BUD7,10,6
YKL046C,DCW1,10,8
YMR243C,ZRC1,10,10
YDR461W,MFA1,10,12
YNL225C,CNM67,10,14
YKL197C,PEX1,10,16
YNR001C,CIT1,10,18
YOL016C,CMK2,10,20
YOL059W,GPD2,10,22
YOL082W,ATG19,10,24
YDR490C,PKH1,10,26
YDR273W,DON1,10,28
YOR083W,WHI5,10,30
Border,Border,10,32
Border,Border,12,2
YOR108W,LEU9,12,4
YOR241W,MET7,12,6
YPL036W,PMA2,12,8
YOR193W,PEX27,12,10
YAL047C,SPC72,12,12
YBL039W-B,YBL039W-B,12,14
YBL068W,PRS4,12,16
YBL086C,YBL086C,12,18
YBL098W,BNA4,12,20
YBR036C,CSG2,12,22
YBR137W,YBR137W,12,24
YBR164C,ARL1,12,26
YBR166C,TYR1,12,28
YBR265W,TSC10,12,30
Border,Border,12,32
Border,Border,14,2
YBR267W,REI1,14,4
YCL014W,BUD3,14,6
YCL029C,BIK1,14,8
YCL057W,PRD1,14,10
YCR075W-A,YCR075W-A,14,12
YDL053C,PBP4,14,14
YDR046C,BAP3,14,16
YDR152W,GIR2,14,18
YDR363W-A,SEM1,14,20
YDR377W,ATP17,14,22
YDR412W,RRP17,14,24
YDR484W,VPS52,14,26
YDR539W,FDC1,14,28
YER002W,NOP16,14,30
Border,Border,14,32
Border,Border,16,2
YER065C,ICL1,16,4
YER156C,YER156C,16,6
YFR001W,LOC1,16,8
YGL012W,ERG4,16,10
YGL049C,TIF4632,16,12
YGL216W,KIP3,16,14
YGR097W,ASK10,16,16
YHR167W,THP2,16,18
YHR195W,NVJ1,16,20
YIL107C,PFK26,16,22
YIL129C,TAO3,16,24
YIR035C,YIR035C,16,26
YIR042C,YIR042C,16,28
YJL039C,NUP192,16,30
Border,Border,16,32
Border,Border,18,2
YJR010W,MET3,18,4
YJR057W,CDC8,18,6
YJR134C,SGM1,18,8
YLR011W,LOT6,18,10
YLR170C,APS1,18,12
YLR389C,STE23,18,14
YLR423C,ATG17,18,16
YML029W,USA1,18,18
YML071C,COG8,18,20
YML081C-A,ATP18,18,22
YML116W,ATR1,18,24
YMR003W,AIM34,18,26
YMR159C,ATG16,18,28
YMR165C,PAH1,18,30
Border,Border,18,32
Border,Border,20,2
YMR297W,PRC1,20,4
YNL050C,YNL050C,20,6
YNL116W,DMA2,20,8
YNL246W,VPS75,20,10
YNL272C,SEC2,20,12
YOL012C,HTZ1,20,14
YOL072W,THP1,20,16
YOL077W-A,ATP19,20,18
YOL158C,ENB1,20,20
YOR067C,ALG8,20,22
YOR155C,ISN1,20,24
YOR265W,RBL2,20,26
YOR326W,MYO2,20,28
YPL111W,CAR1,20,30
Border,Border,20,32
Border,Border,22,2
YPL115C,BEM3,22,4
YPL155C,KIP2,22,6
YPL157W,TGS1,22,8
YPL214C,THI6,22,10
YOR002W,ALG6,22,12
YJR021C,REC107,22,14
YDL208W,NHP2,22,16
YNL061W,NOP2,22,18
YEL027W,VMA3,22,20
YOL060C,MAM3,22,22
YKR058W,GLG1,22,24
YKL119C,VPH2,22,26
YBR110W,ALG1,22,28
YGL001C,ERG26,22,30
Border,Border,22,32
Border,Border,24,2
YHL003C,LAG1,24,4
YGR202C,PCT1,24,6
YDR202C,RAV2,24,8
YOR049C,RSB1,24,10
YPL243W,SRP68,24,12
YGL186C,TPN1,24,14
YDL025C,RTK1,24,16
YDR034W-B,YDR034W-B,24,18
YDL173W,PAR32,24,20
YLR001C,YLR001C,24,22
YBL029C-A,YBL029C-A,24,24
YLR363W-A,YLR363W-A,24,26
YLR407W,YLR407W,24,28
YIL035C,CKA1,24,30
Border,Border,24,32
Border,Border,26,2
YDR226W,ADK1,26,4
YML017W,PSP2,26,6
YGR061C,ADE6,26,8
YDR028C,REG1,26,10
YDL215C,GDH2,26,12
YJR063W,RPA12,26,14
YLR390W-A,CCW14,26,16
YDL147W,RPN5,26,18
YGR263C,SAY1,26,20
YDR171W,HSP42,26,22
YMR012W,CLU1,26,24
YHR025W,THR1,26,26
YLR244C,MAP1,26,28
YBL039W-A,YBL039C-A,26,30
Border,Border,26,32
Border,Border,28,2
YDR346C,SVF1,28,4
YNL059C,ARP5,28,6
YIR022W,SEC11,28,8
YGR012W,YGR012W,28,10
YDL135C,RDI1,28,12
YMR173W,DDR48,28,14
YBR204C,LDH1,28,16
YNL147W,LSM7,28,18
YLR110C,CCW12,28,20
YPL001W,HAT1,28,22
YNL212W,VID27,28,24
YKR018C,YKR018C,28,26
YCR011C,ADP1,28,28
YAL008W,FUN14,28,30
Border,Border,28,32
Border,Border,30,2
YDR001C,NTH1,30,4
YER048C,CAJ1,30,6
YBL028C,YBL028C,30,8
YGR083C,GCD2,30,10
YBR171W,SEC66,30,12
YGL019W,CKB1,30,14
YIL066C,RNR3,30,16
YOR074C,CDC21,30,18
YKR014C,YPT52,30,20
YGR078C,PAC10,30,22
YDR135C,YCF1,30,24
YPL015C,HST2,30,26
YPL239W,YAR1,30,28
YOL126C,MDH2,30,30
Border,Border,30,32
Border,Border,32,2
YNL159C,ASI2,32,4
YPL100W,ATG21,32,6
YDL236W,PHO13,32,8
YJL121C,RPE1,32,10
YJR070C,LIA1,32,12
YHR047C,AAP1,32,14
YDR381C-A,YDR381C-A,32,16
YGL080W,MPC1,32,18
YLR212C,TUB4,32,20
YHL013C,OTU2,32,22
YLR133W,CKI1,32,24
YAL061W,BDH2,32,26
YHR013C,ARD1,32,28
YDR380W,ARO10,32,30
Border,Border,32,32
Border,Border,34,2
YDR272W,GLO2,34,4
YNL048W,ALG11,34,6
YDR196C,CAB5,34,8
YKL099C,UTP11,34,10
YNL036W,NCE103,34,12
YDR251W,PAM1,34,14
YDR533C,HSP31,34,16
YGL036W,YGL036W,34,18
YHR100C,GEP4,34,20
YML057W,CMP2,34,22
YCR094W,CDC50,34,24
YLR043C,TRX1,34,26
YJL130C,URA2,34,28
YCL050C,APA1,34,30
Border,Border,34,32
Border,Border,36,2
YGR183C,QCR9,36,4
YIL159W,BNR1,36,6
YMR027W,YMR027W,36,8
YBR216C,YBP1,36,10
YHR207C,SET5,36,12
YJL197W,UBP12,36,14
YLL010C,PSR1,36,16
YDR453C,TSA2,36,18
YLR068W,FYV7,36,20
YBR072C-A,YBR072C-A,36,22
YDR441C,APT2,36,24
YNL004W,HRB1,36,26
YFL028C,CAF16,36,28
YDL176W,YDL176W,36,30
Border,Border,36,32
Border,Border,38,2
YER024W,YAT2,38,4
YLR433C,CNA1,38,6
YJL062W,LAS21,38,8
YDR394W,RPT3,38,10
YKR084C,HBS1,38,12
YDL035C,GPR1,38,14
YHR113W,APE4,38,16
YBL093C,ROX3,38,18
YDL121C,YDL121C,38,20
YBR056W,YBR056W,38,22
YLR121C,YPS3,38,24
YIL045W,PIG2,38,26
YFR014C,CMK1,38,28
YGR248W,SOL4,38,30
Border,Border,38,32
Border,Border,40,2
YBL056W,PTC3,40,4
YKL120W,OAC1,40,6
YMR291W,TDA1,40,8
YMR038C,CCS1,40,10
YLR404W,FLD1,40,12
YKL135C,APL2,40,14
YBL004W,UTP20,40,16
YGL171W,ROK1,40,18
YNL113W,RPC19,40,20
YIL103W,DPH1,40,22
YLR154C-G,YLR154C-G,40,24
YLR154C-G,YLR154C-G,40,26
YLR154C-G,YLR154C-G,40,28
YPL198W,RPL7B,40,30
Border,Border,40,32
Border,Border,42,2
YBR214W,SDS24,42,4
YIL002W-A,YIL002W-A,42,6
YPL181W,CTI6,42,8
YJL207C,LAA1,42,10
YGR211W,ZPR1,42,12
YBL049W,MOH1,42,14
YBR028C,YPK3,42,16
YGL094C,PAN2,42,18
YER122C,GLO3,42,20
YDR190C,RVB1,42,22
YLR154C-G,YLR154C-G,42,24
YLR154C-G,YLR154C-G,42,26
YPL198W,RPL7B,42,28
YPL198W,RPL7B,42,30
Border,Border,42,32
Border,Border,44,2
YDR302W,GPI11,44,4
YJL087C,TRL1,44,6
YBL101C,ECM21,44,8
YCR095C,OCA4,44,10
YNL258C,DSL1,44,12
YDR119W,VBA4,44,14
YMR222C,FSH2,44,16
YIL016W,SNL1,44,18
YGL224C,SDT1,44,20
YPL050C,MNN9,44,22
YLR154C-G,YLR154C-G,44,24
YPL198W,RPL7B,44,26
Empty,Empty,44,28
Empty,Empty,44,30
Border,Border,44,32
Border,Border,46,2
YFL037W,TUB2,46,4
YIL026C,IRR1,46,6
YNL049C,SFB2,46,8
YHR045W,YHR045W,46,10
YIL135C,VHS2,46,12
YDL226C,GCS1,46,14
YMR251W-A,HOR7,46,16
YOL042W,NGL1,46,18
YNL207W,RIO2,46,20
YGR231C,PHB2,46,22
YPL198W,RPL7B,46,24
YPL198W,RPL7B,46,26
Empty,Empty,46,28
Empty,Empty,46,30
Border,Border,46,32
Border,Border,48,2
Border,Border,48,4
Border,Border,48,6
Border,Border,48,8
Border,Border,48,10
Border,Border,48,12
Border,Border,48,14
Border,Border,48,16
Border,Border,48,18
Border,Border,48,20
Border,Border,48,22
Border,Border,48,24
Border,Border,48,26
Border,Border,48,28
Border,Border,48,30
Border,Border,48,32
YER106W,MAM1,24,7